G00000159640	ACE
ENSG00000126070	AGO3
ENSG00000066279	ASPM
ENSG00000224470	ATXN1L
ENSG00000125378	BMP4
ENSG00000107779	BMPR1A
ENSG00000272398	CD24
ENSG00000090539	CHRD
ENSG00000044115	CTNNA1
ENSG00000168036	CTNNB1
ENSG00000178585	CTNNBIP1
ENSG00000006210	CX3CL1
ENSG00000168329	CX3CR1
ENSG00000080166	DCT
ENSG00000128191	DGCR8
ENSG00000162946	DISC1
ENSG00000142700	DMRTA2
ENSG00000163530	DPPA2
ENSG00000149295	DRD2
ENSG00000055332	EIF2AK2
ENSG00000119888	EPCAM
ENSG00000077942	FBLN1
ENSG00000107829	FBXW4
ENSG00000102678	FGF9
ENSG00000077782	FGFR1
ENSG00000066468	FGFR2
ENSG00000103241	FOXF1
ENSG00000114861	FOXP1
ENSG00000128573	FOXP2
ENSG00000104290	FZD3
ENSG00000106571	GLI3
ENSG00000100644	HIF1A
ENSG00000149948	HMGA2
ENSG00000164104	HMGB2
ENSG00000185950	IRS2
ENSG00000213859	KCTD11
ENSG00000175707	KDF1
ENSG00000004487	KDM1A
ENSG00000049130	KITLG
ENSG00000162337	LRP5
ENSG00000188906	LRRK2
ENSG00000168056	LTBP3
ENSG00000136997	MYC
ENSG00000134323	MYCN
ENSG00000244754	N4BP2L2
ENSG00000196712	NF1
ENSG00000186575	NF2
ENSG00000147862	NFIB
ENSG00000148400	NOTCH1
ENSG00000112333	NR2E1
ENSG00000171540	OTP
ENSG00000172818	OVOL1
ENSG00000125850	OVOL2
ENSG00000007372	PAX6
ENSG00000071994	PDCD2
ENSG00000197461	PDGFA
ENSG00000106443	PHF14
ENSG00000116132	PRRX1
ENSG00000105894	PTN
ENSG00000262418	PTPRC
ENSG00000164690	SHH
ENSG00000168779	SHOX2
ENSG00000077463	SIRT6
ENSG00000126778	SIX1
ENSG00000138083	SIX3
ENSG00000082014	SMARCD3
ENSG00000128602	SMO
ENSG00000019549	SNAI2
ENSG00000100146	SOX10
ENSG00000176887	SOX11
ENSG00000164736	SOX17
ENSG00000203883	SOX18
ENSG00000125398	SOX9
ENSG00000115415	STAT1
ENSG00000141384	TAF4B
ENSG00000184058	TBX1
ENSG00000135111	TBX3
ENSG00000164362	TERT
ENSG00000105329	TGFB1
ENSG00000163513	TGFBR2
ENSG00000090534	THPO
ENSG00000073282	TP63
ENSG00000148704	VAX1
ENSG00000112715	VEGFA
ENSG00000150630	VEGFC
ENSG00000085741	WNT11
ENSG00000105989	WNT2
ENSG00000114251	WNT5A
ENSG00000137693	YAP1
ENSG00000148516	ZEB1
ENSG00000198026	ZNF335
